feature,importance
EXT_SOURCE_1,0.23768646885792297
CREDIT_TERM,0.16014050593962964
EXT_SOURCE_3,0.11574090804123557
bureau_CREDIT_DAY_OVERDUE_max,0.11037807066220491
AMT_CREDIT,0.08016024899980559
bureau_DAYS_CREDIT_max,0.0637465950539408
DAYS_EMPLOYED_PERC,0.042785638336186774
DAYS_BIRTH,0.029104112666743995
inst_AMT_PAYMENT_min,0.025861262840616968
NAME_HOUSING_TYPE,0.01615159561744795
CODE_GENDER,0.013521692349633005
FLOORSMAX_AVG,0.012143121421332056
ANNUITY_INCOME_RATIO,0.010393683067700273
bureau_AMT_CREDIT_SUM_LIMIT_sum,0.010386979321061864
REG_REGION_NOT_WORK_REGION,0.00973171054974686
AMT_REQ_CREDIT_BUREAU_QRT,0.009000908953969322
prev_AMT_APPLICATION_mean,0.008974675448390819
OBS_30_CNT_SOCIAL_CIRCLE,0.0085091726552081
prev_DAYS_DECISION_mean,0.0075125209332868904
AMT_INCOME_TOTAL,0.006973773341162836
prev_DAYS_DECISION_max,0.005774430997297568
OWN_CAR_AGE,0.003951774734519743
DAYS_LAST_PHONE_CHANGE,0.0032303546767714817
FLAG_WORK_PHONE,0.002450542984316645
prev_AMT_ANNUITY_mean,0.0010527941655765027
REG_CITY_NOT_WORK_CITY,0.0007481176702313561
prev_AMT_APPLICATION_min,0.0006866981970345547
WEEKDAY_APPR_PROCESS_START,0.00043716729685230746
prev_AMT_ANNUITY_min,0.00042280511432151157
inst_NUM_INSTALMENT_NUMBER_count,0.0003474096586251576
ORGANIZATION_TYPE,0.0003368541351931028
FLAG_OWN_REALTY,0.00023567483048786975
ELEVATORS_AVG,0.00017681922771657405
AGE_YEARS,0.00016910538350215152
cc_instalment_mature_mean,0.00015664589100035863
AMT_REQ_CREDIT_BUREAU_WEEK,9.089866086963125e-05
prev_NAME_TYPE_SUITE_count,9.081880052824066e-05
DAYS_ID_PUBLISH,8.68688265736659e-05
bureau_AMT_CREDIT_SUM_DEBT_mean,7.764192411542323e-05
FLAG_EMAIL,7.248019972033638e-05
EXT_SOURCE_STD,6.772710926847781e-05
FLAG_DOCUMENT_5,6.675511971528953e-05
CREDIT_INCOME_RATIO,6.039105372394821e-05
inst_AMT_INSTALMENT_max,5.281244130942857e-05
inst_NUM_INSTALMENT_NUMBER_max,4.300630020299256e-05
AMT_REQ_CREDIT_BUREAU_DAY,4.163419766475502e-05
CNT_FAM_MEMBERS,3.9604910765409666e-05
FLAG_DOCUMENT_8,2.7893788486319993e-05
EXT_SOURCE_MEAN,2.4602289842998143e-05
REG_CITY_NOT_LIVE_CITY,1.3524616017450625e-05
bureau_AMT_CREDIT_SUM_sum,1.3357801662190087e-05
NAME_TYPE_SUITE,1.1131022918431539e-05
LIVE_REGION_NOT_WORK_REGION,6.621350939994483e-06
WALLSMATERIAL_MODE,6.050961725835786e-06
bureau_DAYS_CREDIT_min,3.4393965144553115e-06
FLAG_EMP_PHONE,2.5552268773905674e-06
FLAG_DOCUMENT_6,2.215117826504131e-06
bureau_AMT_CREDIT_SUM_mean,1.916683989669814e-06
FLAG_PHONE,1.8468897202842812e-06
AMT_REQ_CREDIT_BUREAU_YEAR,1.8282347648106017e-06
inst_DAYS_ENTRY_PAYMENT_mean,1.815118764880237e-06
prev_AMT_APPLICATION_max,1.517353722114977e-06
prev_DAYS_DECISION_min,1.16166683773853e-06
prev_NAME_CONTRACT_STATUS_<lambda>,1.1160034653177114e-06
NAME_FAMILY_STATUS,9.355892315173868e-07
inst_NUM_INSTALMENT_VERSION_nunique,8.885556047663209e-07
DAYS_EMPLOYED,8.8250741797029e-07
prev_AMT_ANNUITY_max,8.73833459379737e-07
inst_AMT_INSTALMENT_mean,5.082608811642967e-07
bureau_AMT_CREDIT_MAX_OVERDUE_max,3.184674397561225e-07
NAME_INCOME_TYPE,2.631220819107982e-07
FLAG_OWN_CAR,1.9579831287360682e-07
REG_REGION_NOT_LIVE_REGION,1.701082500877415e-07
bureau_AMT_CREDIT_SUM_DEBT_sum,1.1046073298447625e-07
FLAG_DOCUMENT_3,1.1037589335213484e-07
OCCUPATION_TYPE,9.259369496697308e-08
bureau_bb_status_good,7.197717396323874e-08
LIVE_CITY_NOT_WORK_CITY,6.710747344720981e-08
CNT_CHILDREN,6.213655378885914e-08
FONDKAPREMONT_MODE,6.179462195118141e-08
inst_DAYS_INSTALMENT_min,5.567843182723274e-08
NAME_EDUCATION_TYPE,5.350764791670294e-08
AMT_REQ_CREDIT_BUREAU_MON,4.4328253461019006e-08
bureau_DAYS_CREDIT_mean,2.9348979825221204e-08
DEF_30_CNT_SOCIAL_CIRCLE,2.83202077212481e-08
EXT_SOURCE_2,2.741488245287329e-08
AMT_ANNUITY,2.4366391505047915e-08
inst_DAYS_INSTALMENT_max,2.382476655818912e-08
bureau_bb_months_count,1.0148209046098529e-08
bureau_CNT_CREDIT_PROLONG_sum,7.63929260627017e-09
REGION_RATING_CLIENT,5.024016487461216e-09
HOUR_APPR_PROCESS_START,4.62088861402277e-09
DEF_60_CNT_SOCIAL_CIRCLE,0.0
HOUSETYPE_MODE,0.0
cc_drawings_current_mean,0.0
inst_AMT_INSTALMENT_min,0.0
DAYS_REGISTRATION,0.0
bureau_CREDIT_DAY_OVERDUE_mean,0.0
NAME_CONTRACT_TYPE,0.0
